Split,No,input_text,fallacy_type,a_annotator 1,a'_annotator 1,c_annotator 1,c'_annotator 1,x_annotator 1,template_annotator_1,is_arg_consequences_annotator_1,template_annotator_2,is_arg_consequences_annotator_2,a_annotator_2,a'_annotator_2,c_annotator_2,c'_annotator_2,x_annotator_2
Dev,147,"Dan White ate a lot of Twinkies and then killed the Mayor of San Francisco. If I were a mayor, Iâ€™d ban Twinkies so no one would kill me.",False Causality,ban twinkies,kill,,,,4,YES,4,YES,ban Twinkies,,kill me,,
Dev,148,The reason Donald Trump got elected was because liberals took political correctness too far.,False Causality,took political correctness,elected,,,,3,YES,2,YES,liberals took political correctness too far,,Donald Trump got elected,,
Dev,149,People who eat yogurt have healthy guts. If I eat yogurt I will never get sick.,False Causality,yogurt,sick,,,,4,YES,4,YES,eat yogurt,,sick,,
Dev,150,"Every sunrise, the rooster makes a sound. So it is the rooster which makes the sun rise.",False Causality,rooster,sun rise,,,,3,YES,3,YES,rooster,,sun rise,,
Dev,151,"Everyone in our family has gone to the University of Tennessee, so you need to apply to UT.",Fallacy of Credibility,University of Tennessee,,you,,familiy,3,YES,3,YES,apply to UT,,you,,everyone in our family
Dev,152,"""The art teacher spoke in the trial as a witness in support of testing perfumes on animals, and he persuaded me.""",Fallacy of Credibility,testing perfumes,,animals,,the art teacher,3,YES,1,YES,testing perfumes on animals,,animals,,art teacher
Dev,153,"How do I know the adult film industry is the third largest industry in the United States? Derek Shlongmiester, the adult film star of over 50 years, said it was. That's how I know.",Fallacy of Credibility,adult film industry,,derek shlongmiester,,industry,3,YES,3,YES,adult film industry,,largest industry in the United States,,Derek Shlongmiester
Dev,154,"""We're going to protest and not get in trouble because Mr. Iglesias said it's okay.""",Fallacy of Credibility,protest,,trouble,,mr iglesias,2,YES,3,YES,protest,,not get in trouble,,Mr. Iglesias
Dev,155,"I saw Ashton Kutcher in a commercial for male skin care. He's looking good for his age, so I'm willing to try the product. He must know what he's talking about.",Fallacy of Credibility,male skin care,,looking good,,ashton kutcher,3,YES,3,YES,male skin care,,age,,Ashton Kutcher
Dev,156,"I shop at Natural Happy Sunshine Store (NHSS), which is much better than your grocery store because at NHSS everything is natural including the 38-year-old store managerâ€™s long gray hair and saggy breasts.",Fallacy of Credibility,NHSS,,natural,,me,3,YES,3,YES,NHSS,,natural,,I
Dev,157,â€œThe purpose of the Cadet Program is to prepare youth for Air Force Basic Military Training.â€ REPLY: â€œThis is true because I heard it from the Wing Commander.â€,Fallacy of Credibility,cadet program,,youth,,wing commander,3,YES,3,YES,Cadet Program,,prepare youth for Air Force Basic Military,,Wing Commander
Dev,158,attaching an argument to a person of false or appeared authority in order to give credence to their argument,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,159,"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",Fallacy of Credibility,herbal supplement,,healthier,,grows in Zambia,3,YES,2,YES,herbal supplement,,taking that medication,,grows in Zambia
Dev,160,Students never used to have cell phones so they don't need them now.,Fallacy of Credibility,need cell phones,,students,,me,1,YES,1,YES,cell phones,,students,,students never used to have cell phones
Dev,161,"I am committed to preserving traditional marriage, the union of one man and one woman.",Fallacy of Credibility,traditional marriage,,one man and one woman,,me,3,YES,3,YES,traditional marriage,,union of one man and one woman,,I
Dev,162,"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.",Fallacy of Credibility,nature ,,disease,,me,4,YES,1,YES,medicine,,nature,,natures gives people diseases and sickness
Dev,163,"""Stephen Hawking in the smartest scientist on the planet, so if he says global warming is real, it must be true!""",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,164,"Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,165,"""We should abolish the death penalty. Many respected people, such as actor, Chewbacca, have publicly stated their opposition to it.""",Fallacy of Credibility,abolish death penalty,,we,,checbacca actor,3,YES,1,YES,abolish the death penalty,,We,,Chewbacca
Dev,166,We should move to the midwest because the Wall Street Journal says the cost of living is cheaper there.,Fallacy of Credibility,move to midwest,,cheaper cost of living,,wall street journal,3,YES,3,YES,move to the midwest,,cost of living,,Wall Street Journal
Dev,167,Skipping looking for a second opinion or evidence and just asking one doctor is what fallacy?,Fallacy of Credibility,skip looking for secong opinion,,ask doctor,,,5,NO,5,NO,,,,,
Dev,168,"I hold a doctorate in theology, have written 12 books, and personally met the Pope. Therefore, when I say that Jesusâ€™ favorite snack was raisins dipped in wine, you should believe me.",Fallacy of Credibility,believe me ,,you,,me,5,NO,3,YES,believe me,,you,,I
Dev,169,"Homosexuality is / ought to be morally wrong (moral property) because it is not normal (natural property).
 or
 Homosexuality is not normal (natural property); therefore, it is / ought to be morally wrong (moral property).",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,170,"I think scientists are wrong. There is no such thing as global warming. I just finished talking to my boss, and he thought the idea was ridiculous.",Fallacy of Credibility,,,,,,5,NO,4,YES,scientists,,global warming,,boss
Dev,171,"""My brother's girlfriend's Mother's hairdresser said that COVID numbers are going down, so I'm not going to bother with my mask"" IS an example of this fallacy.",Fallacy of Credibility,COVID,,mask,,my brother's girlfriend's mother's,2,YES,2,YES,COVID numbers are going down,,mask,,brother's girlfriend's Mother's hairdresser
Dev,172,"Coke is not as healthy for you as Pepsi. Besides, Britney Spears drinks Pepsi, so it must be healthier than Coke.",Fallacy of Credibility,pepsi,,healthy,,britney spears,3,YES,3,YES,Pepsi,,you,,Britney Spears
Dev,173,"We should offer movies on our companyâ€™s website. REPLY: No, weâ€™ve built our companyâ€™s fortune by renting movies only through our stores.",Fallacy of Credibility,renting movies,,company fortune,,we,3,YES,3,YES,renting movies only through our stores,,company's fortune,,we
Dev,174,"I'm not a doctor, but I play one on the hit series, ""Bimbos and Studmuffins in the OR."" You can take it from me that when you need a safe and effective pain killer, there is nothing better then MorphiPill 2000. That is my professional medical opinion.",Fallacy of Credibility,morphipill 2000,,safe and effective pain killer,,me,3,YES,3,YES,Morphipill 2000,,safe an effective pain killer,,I
Dev,175,"â€œWe should abolish the death penalty. Many respected people, such as Imran Kader, have publicly stated their opposition to it.â€",Fallacy of Credibility,abolish the death penalty,,we,,Imran Kader,3,YES,1,YES,death penalty,,we,,Imran Kader
Dev,176,"Argues that ""we've always done it that way."" In other words, because something worked in the past, it is the correct thing to do.",Fallacy of Credibility,done it that way,,something worked in the past,,me,3,YES,3,YES,done it that way,,something worked,,we
Dev,177,"My philosophy professor believes in ghosts and goes to sÃ©ances. Sheâ€™s an intelligent, educated, person, so ghosts must be real, and spiritualism must be true.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,178,"You said that because an authority thinks something, it must therefore be true.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,179,"""If my years as a Marine taught me anything, it's that caution is the best policy in this sort of situation.""?",Fallacy of Credibility,caution,,best policy in this sort of situation,,my years as a marine,3,YES,3,YES,caution,,situation,,my years as a Marine
Dev,180,"Professor X holds that the use of non-invasive ventilation has no place in the management of ARDS; this, therefore, is the approach we should adopt.",Fallacy of Credibility,this approach,,management of ARDS,,Professor X,3,YES,3,YES,this,,management of ARDs,,Professor X
Dev,181,There is definitely a link between autism and the vaccines given to toddlers. I know this because a Wikipedia entry mentioned numerous studies that found this to be true.,Fallacy of Credibility,vaccines,,autism,,wikipedia,2,YES,2,YES,vaccines given to toddlers,,autism,,Wikipedia entry
Dev,182,If I made a reference to a monk I would most likely be utilizing...,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,183,Albert Einstein was extremely impressed with this theory.,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,184,"I have served over 20 years in the military, and based on my professional opinion, I believe more money needs to be spent on protective armor and military vehicles.",Fallacy of Credibility,spent on protective armor and military vehicles,,military,,me,3,YES,3,YES,more money needs to be spent on protective armor and military vehicles,,military,,I
Dev,185,You use support from someone who is a trustworthy expert.,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,186,"People have believed that fish is ""brain food"" for decades, so I don't believe the FDA when they claim that eating fish does not enhance the intellect.",Fallacy of Credibility,fish,,enhance intellect,,people,3,YES,3,YES,fish,,enhance the intellect,,people
Dev,187,"Marriage has traditionally been between a man and a woman; therefore, gay marriage should not be allowed.",Fallacy of Credibility,gay marriage,,traditional marriage,,common knowledge,1,YES,1,YES,gay marriage,,marriage,,traditionally been between a man and a woman
Dev,188,"""My best friend tweeted about the health benefits of pizza, and so we're going to out to eat two vegetable pizzas tonight.""",Fallacy of Credibility,vegetables pizzas,,health benefits,,my best friend,3,YES,3,YES,pizza,,health benefits,,my friend
Dev,189,"My minister says the Covid vaccine will cause genetic mutations. He has a college degree, and is a holy man, so he must be right.",Fallacy of Credibility,covid vaccine,,genetic mutations,,my minister,4,YES,4,YES,covid vaccine,,genetic mutations,,my minister
Dev,190,"The medicine man rolled into town on his bandwagon offering various natural remedies, such as very special plain water. He said that it was only natural that people should be wary of 'artificial' medicines such as antibiotics.",Fallacy of Credibility,antibiotics,,people,,medicine man,1,YES,2,YES,natural remedies,,antibiotics,,medicine man
Dev,191,"Dr. X is an engineer, and he doesnâ€™t believe in global warming.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,192,"Look, it doesn't matter whether or not you think America should build a wall on the border. The President thinks America should do it, so it's a good idea.",Fallacy of Credibility,build a wall,,america,,president,3,YES,3,YES,build a wall on the border,,America,,The President
Dev,193,Studies show that it takes up to seven years for the human body to digest a piece of gum.,Fallacy of Credibility,,,,,,5,NO,1,YES,piece of gum,,human body,,studies
Dev,194,Two words: New Coke.,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,195,A commercial claims that a specific brand of cereal is the best way to start the day because athlete Michael Jordan says that it is what he eats every day for breakfast.,Fallacy of Credibility,specific brand of cereal,,start the day,,michael jordan,3,YES,3,YES,specific brand of cereal,,start of the day,,Michael Jordan
Dev,196,"I donâ€™t care what scientists say, my mother always told me that the world is flat, and she would never lie to me!",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,197,"You should eat more green leafy vegetables, because Ms. Lord says so, and she is an expert on grammar and vocabulary.",Fallacy of Credibility,green leafy vegetables,,you,,Ms. Lord,3,YES,3,YES,green leafy vegetables,,you,,Ms. Lord
Dev,198,I think that businesses should not have to limit the amount of pollutants they release into the atmosphere because Rush Limbaugh says that there is no real evidence for industrial pollutants causing the Greenhouse Effect.,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Dev,199,"""Dra. Vicky Belo said that all kind of cars need fuel to start.""
 
 What fallacy is being committed in the sentence above?",Fallacy of Credibility,fuel,,cars,,Dra. Vicky Belo,3,YES,5,NO,,,,,
Dev,200,John agrees with me that drinking energy drinks are bad for you.,Fallacy of Credibility,drinking energy drinks,,you,,John,1,YES,1,YES,drinking energy drinks,,you,,John
Train,201,"â€œAre you going to do well in school, or are you going to succeed as a cadet?â€",False Dilemma,school,,cadet,,,2,YES,2,YES,do well in school,,succeed as a cadet,,
Train,202,"In the United States, one can vote for either Democrats or Republicans.",False Dilemma,,,,,,5,NO,2,YES,Democrats,,Republicans,,
Train,203,Either you eat this meatloaf or you eat nothing.,False Dilemma,eat meatloaf,,eat nothing,,,2,YES,2,YES,eat this meatloaf,,eat nothing,,
Train,204,"""If you do not submit your requirements today, you should drop your classes with Sir Lean.""",False Dilemma,not submit requirement,,drop classes,,,4,YES,2,YES,submit your requirements today,,drop your classes with Sir Lean,,
Train,205,"If you donâ€™t say the Pledge of Allegiance, then you must be a traitor.",False Dilemma,not say the pledge of allegiance,,traitor,,,4,YES,2,YES,say the Pledge of Allegiance,,you must be a traitor,,
Train,206,"Person 1: Youâ€™re either for the war or against the troops.
 
 Person 2: Actually, I do not want our troops sent into a dangerous war.",False Dilemma,war,,againts the troop,,,3,YES,2,YES,for the war,,against the troops,,
Train,207,"""Either you pass this test, or you fail it."" Laughed Sr Malak",False Dilemma,pass this test,,fail,,,2,YES,2,YES,pass this test,,fail it,,
Train,208,If you don't say the Pledge of Allegiance you are a traitor.,False Dilemma,not say the pledge of allegiance,,traitor,,,4,YES,2,YES,say the Pledge of Allegiance,,you must be a traitor,,
Train,209,We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors.,False Dilemma,approve public offering,,suffer slow annihilation,,,2,YES,2,YES,approve this initial public offering,,suffer slow annihilation at the hands of our competitors,,
Train,210,We cannot support immigrants because we have too many homeless and poor Americans.,False Dilemma,suppress immigrants,,homeless,,,4,YES,4,YES,support immigrants,,homeless and poor Americans,,
Train,211,"When someone says, ""Either schools need to fully open immediately and no students should wear masks or all teachers are Communists!""",False Dilemma,sxhool open and no stundents wear mask,,communists teacher,,,2,YES,2,YES,schools need to fully open immediately and no students should wear masks,,all teachers are Communists,,
Train,212,You are either a leader or a follower.,False Dilemma,leader,,follower,,,2,YES,2,YES,leader,,follower,,
Train,213,"Autumn is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise the library will be forced to close.""
 
 Of what fallacy is this an example?",False Dilemma,raise tuition fee,,library,,,1,YES,2,YES,raise tuition to cover the cost of new books,,library will be forced to close,,
Train,214,I called my friend and he didn't answer. He wasn't home or he was dead.,False Dilemma,not at home,,dead,,,2,YES,2,YES,home,,he was dead,,
Train,215,"â€œIf you really loved me, you would buy me everything I ever wanted!â€",False Dilemma,loved ,,buy everything,,,1,YES,1,YES,you really loved me,,you would buy me everything I ever wanted,,
Train,216,"Whilst rallying support for his plan to fundamentally undermine citizens' rights, the Supreme Leader told the people they were either on his side, or they were on the side of the enemy.",False Dilemma,on his side,,on enemy side,,,2,YES,2,YES,either on his side,,the side of the enemy,,
Train,217,People either like coffee or hate it.,False Dilemma,like coffee,,hate,,,2,YES,2,YES,like coffee,,hate it,,
Train,218,"â€œEither you love me, or you hate me.â€",False Dilemma,love ,,hate,,,2,YES,2,YES,love me,,hate me,,
Train,219,America: Love it or leave it,False Dilemma,love,,leave,,,2,YES,2,YES,Love it,,leave it,,
Train,220,", when in fact more possibilities exist.",False Dilemma,,,,,,5,NO,5,NO,,,,,
Train,221,â€œI didnâ€™t see you at the charity fundraiser today. I guess you are not a good person after all.â€,False Dilemma,see at charity,,good person,,,1,YES,1,YES,charity fundraiser,,good person,,
Train,222,"In the United States, one can vote for either Democrats or Republicans.",False Dilemma,,,,,,5,NO,2,YES,Democrats,,Republicans,,
Train,223,"If we are too scared to open the economy completely, then we'll have to keep it closed forever.",False Dilemma,scared to open the economy,,keep it closec forever,,,4,YES,2,YES,open the economy completely,,keep it closed forever,,
Train,224,We can either stop using cars or destroy the earth.,False Dilemma,stop using cars,,destroy the earth,,,2,YES,2,YES,stop using cars,,destroy the earth,,
Train,225,"If you don't say the pledge of allegiance, then you must be a traitor.",False Dilemma,not say the pledge of allegiance,,traitor,,,4,YES,2,YES,say the pledge of allegiance,,you must be a traitor,,
Train,226,"You've got to teach the boys logic! If you don't teach them logic, they won't learn how to think, and they'll become hobos and die in prison! Don't you care about your sons? (Mother to Father)",False Dilemma,teach the boys logic,,hobos,,,2,YES,2,YES,teach the boys logic,,they won't learn how to think,,
Train,227,"Growing up, many children are told to eat their dinner or else they would never grow big and tall. What fallacy is this?",False Dilemma,eat dinner,,grow big,,,1,YES,2,YES,eat their dinner,,never grow big and tall,,
Train,228,"Sukaina to her mom: Either you buy me this new book, or you decide that reading is not important at all.",False Dilemma,buy new book,,reading is not important,,,2,YES,2,YES,buy me this new book,,decide that reading is not important at all,,
Train,229,â€œLive with me or live on the streetsâ€,False Dilemma,live with me ,,live on the street,,,2,YES,2,YES,live with me,,live on the streets,,
Train,230,"I thought you were a good person, but you werenâ€™t in class today.",False Dilemma,good person,,class,,,1,YES,1,YES,class,,good person,,
Train,231,The speaker insinuates that there are only two options despite this not being true.,False Dilemma,,,,,,5,NO,5,NO,,,,,
Train,232,"Cassie has no school spiritâ€”she never comes to any of our football games.
 guilt by association: a negative association intended to discredit someone or something",False Dilemma,school spirit,,comes to football games,,,1,YES,1,YES,football games,,school spirit,,
Train,233,"I thought you cared about other people, but I didn't see you at the fundraiser for the Children's Hospital ...",False Dilemma,cared about other,,see at fundraiser,,,1,YES,1,YES,see you at the fundraiser for the Children's hospital,,you cared about other people,,
Train,234,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",False Dilemma,gave money to charity,,greedy,,,2,YES,4,YES,never gave money to charity,,you must be a greedy millionaire,,
Train,235,"Either you love bacon, or you're wrong.",False Dilemma,love bacon,,wrong,,,2,YES,4,YES,you love bacon,,you're wrong,,
Train,236,"â€œWe can give cadets awards for doing well, or we can have a disciplined squadron. We canâ€™t do both.â€",False Dilemma,give cadets awards,,disciplined squadron,,,2,YES,5,NO,,,,,
Train,237,"""Jollibee or McDonalds for lunch?""
 
 The sentence is an example of what fallacy?",False Dilemma,,,,,,5,NO,5,NO,,,,,
Train,238,We should ban all hairspray or the world will end!,False Dilemma,ban hairspray,,world will end,,,2,YES,2,YES,ban all hairspray,,world will end,,
Train,239,You either support Hillary Clinton for President or you donâ€™t believe in womenâ€™s rights.,False Dilemma,support hillary clinton,,not believe in women,,,2,YES,2,YES,support Hillary Clinton for President,,you don't believe in women's rights,,
Train,240,"If you can't prove that Ken had an affair with the nanny, then he's been faithful to his wife.",False Dilemma,prove ken had an affair,,faithful to his wife,,,3,YES,1,YES,prove that Ken had an affair with the nanny,,he's been faithful to his wife,,
Train,241,It is either you are for the US war on terror or against it.,False Dilemma,us war on terror,,againts,,,2,YES,2,YES,you are for the US war on terror,,against it,,
Train,242,"â€œDo you want to live in a world where you can get breakfast from McDonaldâ€™s all day, or would you rather live in a dictatorship?â€",False Dilemma,mcdonald breakfast,,dictatorship,,,2,YES,2,YES,live in a world where you can get breakfast from McDonald's all day,,live in a dictatorship,,
Train,243,"Either you decide that you can afford this stereo, or decide not to have music for a while",False Dilemma,afford stereo,,music,,,1,YES,2,YES,you decide that you can afford this stereo,,decide not to have music for a while,,
Train,244,"Because recent polling indicates that no voters in the county are strongly in favor of the proposed amendment, we can expect strong opposition to the amendment when it is voted on next month.",False Dilemma,no voters ,,strong opposition to the amendment,,,3,YES,2,YES,strongly in favor of the proposed amendment,,strong opposition to the amendment when it is voted on,,
Train,245,"You can look cool in our clothes, or you can look like a loser.",False Dilemma,look cool,,look loser,,,2,YES,2,YES,look cool in our clothes,,look like a loser,,
Train,246,"Either we accept the findings of this study demonstrating that this new intervention is the best to be used for this disorder, or we must no longer call ourselves scientists, psychologists, or reasonable people.",False Dilemma,accept findings,,no longer call ourself scientist,,,2,YES,2,YES,accept the findings of this study demonstrating that this new intervention if the best to be used for this disorder,,"we must no longer call ourselves scientists, psychologists, or reasonable people",,
Train,247,Politician: We have to decide if we are going to support school choice or if we are going to support failing schools. Those are the only two options.,False Dilemma,support school,,failing school,,,2,YES,2,YES,support school choice,,support failing schools,,
Train,248,You can go to bed in 5 minutes or you can go to bed in ten minutes. What's your choice?,False Dilemma,,,,,,5,NO,2,YES,you can go to be in 5 minutes,,you can go to bed in ten minutes,,
Train,249,"The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit.",False Dilemma,more security guards,,steal,,,2,YES,2,YES,museum's new gemstones and precious minerals exhibit needs more security guards,,you must be planning to steal a piece of the exhibit,,
Train,250,"Hillary Clinton wants to take your guns away, and she wants to abolish the Second Amendment.",False Dilemma,take you guns,,abolish secont amendment,,,1,YES,4,YES,Hillary Clinton wants to take your guns away,,she wants to abolish the Second Amendment,,
Train,251,"""My cousin said her Math class was hard. The one that Iâ€™m in is hard too. All Math classes must be hard.""
 This statement is an example ofâ€¦",Faulty Generalization,all math classes,my cousin math class,hard,,,2,YES,2,YES,all Math classes,her Math class,hard,,
Train,252,Using the second amendment as justification to allow civilians to own nuclear submarines.,Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,253,"Your brain is made of molecules. Molecules are not the source of consciousness. Therefore, your brain cannot be the source of consciousness.",Faulty Generalization,brain,molecules,consciousness,,,4,YES,5,NO,,,,,
Train,254,All women care about are their looks.,Faulty Generalization,,,,,,5,NO,3,YES,care about their looks,,all women,women,
Train,255,"If we teach anton how to drive the car, heâ€™ll want to learn how to fly helicopters next!",Faulty Generalization,Teach anton,,fly helicopter,drive a car,,2,YES,5,NO,,,,,
Train,256,"A study was done recently showing that church attendance was positively correlated with marriage longevity, that is, those couples who attended church together more often were more likely to stay married. This really should not be a surprise considering the general view of divorce within religion. What this does not mean is that any given couple who does not attend church is more likely to get divorced than any given couple that does attend church.",Faulty Generalization,church attendance,,,,,5,NO,5,NO,,,,,
Train,257,Allowing gay marriage puts us on the way to polygamy and bestiality,Faulty Generalization,gay marriage,,polygamy,betiality,,2,YES,5,NO,,,,,
Train,258,I work out in the morning because it worked for my friend.,Faulty Generalization,,,,,,5,NO,3,YES,work out in the morning,,I,my friend,
Train,259,"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.
 
 Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated.",Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,260,Having a television rating system is like being in prison. Both infringe on one's rights.,Faulty Generalization,,,,,,5,NO,2,YES,television rating system,,infriinge on one's rights,being in prison,
Train,261,â€œThere arenâ€™t any good restaurants in Sydney; I tried two and they were both horrible.â€,Faulty Generalization,good restaurants in sydney,tried two restaurants,horrible,,,2,YES,5,NO,,,,,
Train,262,"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded.",Faulty Generalization,banning poetry,,burning all the books,they will never stop,,4,YES,2,YES,banning poetry,,they will be burning all the books,they will never stop,
Train,263,"Several years ago, a group of 10 psychologists started a psychology training program. Each of those psychologists is efficient, effective, and highly-regarded. Their training program must be efficient, effective, and highly-regarded.",Faulty Generalization,psychology training program,each psycologist,"efficient, effective, and highly-regarded",,,3,YES,3,YES,their training program,10 psychologists,"efficient, effective, and highly-regarded",,
Train,264,"""I don't know how to complete my geometry homework tonight; I probably can't pass the course since I can't do this one assignment.""",Faulty Generalization,cant pass the course,cant complete geometry homework,I,,,1,YES,1,YES,complete my geometry homework,do this one assignment,pass the course,,
Train,265,Three congressional representatives have had affairs. Members of Congress are adulterers.,Faulty Generalization,,,,,,5,NO,2,YES,Members of Congress,Three congressional representatives,adulterers,,
Train,266,"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost. This is an example of which logical fallacy?",Faulty Generalization,eat 10 cookies,on cookie,gain weight,,,2,YES,2,YES,have one cookie tonight,,gained back the 15 pounds you lost,eat 10 cookies tomorrow,
Train,267,"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt.",Faulty Generalization,gamble,,bankrupt,wont be able to stop,,2,YES,2,YES,gamble,you gamble,bankrupt,,
Train,268,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...),Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,269,I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.,Faulty Generalization,,,,,,5,NO,3,YES,find a job in this job market,,people,my daughter and I,
Train,270,"While doing research for her debate topic on school uniforms, Sara discovered that a local elementary school survey indicated that 72% of its 1st graders wanted uniforms. She used this as evidence to support that all high schools should wear school uniforms.
 What fallacy did Sara use here?",Faulty Generalization,all high school,72% 1st graders wanted uniforms,wear school uniforms,,,3,YES,3,YES,wear school uniforms,,high schools,72% of its first graders,
Train,271,"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles. Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a â€œspiritualâ€ one. Once you accept that, you wonâ€™t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature. So you better take the story of Adam and Eve literally, before the phrase, â€œthat chicken looks deliciousâ€, takes on a whole new meaning.",Faulty Generalization,accept that the story of adam and eve was figurative,,christian,story of jesus,,1,YES,2,YES,take the story of Adam and Eve literally,,you won't be Christian anymore,you will do the same for most of the Old testament stories,
Train,272,People who wear glasses are smarter.,Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,273,A person hanging out in a bar will be an alcoholic,Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,274,"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles. Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a â€œspiritualâ€ one. Once you accept that, you wonâ€™t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature. So you better take the story of Adam and Eve literally, before the phrase, â€œthat chicken looks deliciousâ€, takes on a whole new meaning.",Faulty Generalization,accept that the story of adam and eve was figurative,,christian,story of jesus,,1,YES,2,YES,take the story of Adam and Eve literally,,you won't be Christian anymore,you will do the same for most of the Old testament stories,
Train,275,My neighborâ€™s child was kidnapped while playing alone in her yard. My city must be a dangerous place for children.,Faulty Generalization,my city,,dangerous,my neighbour child was kidnapped,,2,YES,1,YES,my city,,children,neighbor's child,
Train,276,â€œThe two courses I took at Harvard were not very interesting. I don't think it is a good university.â€,Faulty Generalization,Harvard,two courses ,good univeristy,interesting,,1,YES,1,YES,Harvard,two courses I took at Harvard,good university,,
Train,277,"If I went to the mall a polled 3 people, those opinions would not represent the opinions of the city population.",Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,278,"If you forget to floss, you will get cavities, and if you get cavities, you will lose all your teeth by the time you're 30.",Faulty Generalization,cavities,forget to floss,lose all your teeth,,,2,YES,4,YES,floss,,lose all your teeth,you will lose all your teeth by the time you're 30,
Train,279,"""Some tall people recently vandalized the park, tall people are irresponsible.""",Faulty Generalization,tall people,some tall people,irresponsible,vandalized the park,,2,YES,1,YES,tall people,some tall people,the park,,
Train,280,"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true.",Faulty Generalization,drinking milk after eating fish,my mother friend drinking milk and eating fish,skin got patched,,,2,YES,1,YES,drink milk after eating fish,,people,friend,
Train,281,"Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each. Therefore, Americans are very wealthy.",Faulty Generalization,americans,99% of surveyed american homeowners,wealthy,,,3,YES,3,YES,Americans,1000 American homeowners,wealthy,,
Train,282,gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.,Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,283,"If you donâ€™t eat breakfast, youâ€™ll slouch in your desk. If you slouch in your desk, youâ€™ll hurt your back. If you hurt your back, youâ€™ll never become President. What fallacy is being committed here?",Faulty Generalization,dont eat breakfast,,never become president,slouch in your desk,,2,YES,1,YES,eat breakfast,you don't eat breakfast,become President,,
Train,284,"""She's definitely a feminist; she watched the Democratic National Convention"" IS an example of this fallacy.",Faulty Generalization,,,,,,5,NO,2,YES,Democratic National Convention,,feminist,she,
Train,285,"If you don't pass this quiz, you will get a low grade. This will affect your score in the gradebook, you will fail Eng II. You will not graduate Highschool. You will not get a good job.",Faulty Generalization,dont pass this quiz,,not get a good job,not graduate highschool,,2,YES,1,YES,pass this quiz,you don't pass this quiz,good job,,
Train,286,"My grandmother smoked for 80 years and died at 100. Obviously, smoking isnâ€™t harmful.",Faulty Generalization,smoking,smoked for 80 years,harmfull,,,4,YES,5,NO,,,,,
